company_name,website,short_description,product_description,mapped_function,mapped_industry,match_keywords,aliases,active,priority,source,zone
Adidas,https://adidas.com,Global sportswear brand and athletic performance innovation company,"Adidas is one of the world's largest sportswear manufacturers producing footwear, apparel, and equipment for sport and lifestyle. Investing heavily in digital commerce, sustainability, and direct-to-consumer channels through its own app and stores.",Sportswear & Retail,Consumer Goods,"adidas, sportswear, sneakers, athletic apparel, footwear, sport performance, lifestyle, direct to consumer, sustainability, fashion",Adidas AG,true,7,websummit-lisbon2025,N/A
Cerebras Systems,https://cerebras.net,AI chip company building wafer-scale processors for frontier model training,Cerebras builds the Wafer Scale Engine (WSE) — the world's largest chip — for AI training and inference. A single WSE-3 has 4 trillion transistors. Cerebras Inference is publicly available for fast open-source model serving.,AI Hardware,AI Infrastructure,"cerebras, wafer scale engine, ai chip, ai training, inference, wse, large chip, ai hardware, frontier models, fast inference",Cerebras,true,7,websummit-lisbon2025,N/A
JCDecaux,https://jcdecaux.com,Global leader in out-of-home advertising and digital street furniture,"JCDecaux is the world's largest outdoor advertising company operating billboards, bus shelters, airport advertising, and urban street furniture in 80 countries. Increasingly leveraging programmatic digital out-of-home (DOOH) and AI-driven audience targeting.",Out-of-Home Advertising,Advertising & Media,"jcdecaux, outdoor advertising, ooh, dooh, billboard, digital signage, airport advertising, programmatic, street furniture",JCDecaux OOH,true,5,websummit-lisbon2025,N/A
Whalar,https://whalar.com,Creator economy platform connecting brands with influencers for social campaigns,"Whalar is a creator commerce platform that matches brands with influencers and content creators for social media campaigns across TikTok, Instagram, and YouTube. Also operates a talent management division and immersive live experiences.",Creator Marketing,Marketing SaaS,"whalar, influencer marketing, creator economy, tiktok, instagram, brand partnerships, content creator, social commerce, ugc",Whalar Group,true,6,websummit-lisbon2025,N/A
bunq,https://bunq.com,European digital bank built for location-independent professionals and travelers,"bunq is a Netherlands-based mobile bank offering multi-currency accounts, instant international transfers, budgeting tools, and a green banking pledge. Popular with digital nomads, freelancers, and expats across the EU.",Digital Banking,FinTech,"bunq, digital bank, neobank, mobile banking, multi-currency, eu banking, freelancer banking, fintech, digital nomad, green banking",bunq Bank,true,6,websummit-lisbon2025,N/A
Qualcomm,https://qualcomm.com,Semiconductor company powering mobile automotive and on-device AI computing,"Qualcomm designs the Snapdragon SoC found in Android smartphones, PCs, cars, and IoT devices. Its AI Engine enables on-device AI inference at the edge. Also provides 5G modem technology and licenses wireless IP to device manufacturers.",Mobile Semiconductors,Hardware & Semiconductors,"qualcomm, snapdragon, mobile chip, 5g, soc, on-device ai, automotive, iot, wireless, modem, arm chip",Qualcomm Technologies,true,9,websummit-lisbon2025,N/A
OnlyFans,https://onlyfans.com,Subscription content platform for creators across entertainment and fitness,"OnlyFans is a subscription-based platform where creators monetize exclusive content directly from fans. Originally known for adult content, it now hosts fitness coaches, musicians, chefs, and educators. Processes billions in creator payouts annually.",Creator Monetization,Creator Economy,"onlyfans, creator platform, subscription, content creator, fan monetization, creator economy, exclusive content, direct to fan",OnlyFans Platform,true,6,websummit-lisbon2025,N/A
Code and Theory,https://codeandtheory.com,Digital product and brand transformation agency combining strategy with engineering,"Code and Theory builds products, platforms, and brand experiences for media, healthcare, and consumer companies. Known for work with Forbes, ESPN, and Gannett. Combines brand strategy with full-stack product engineering execution.",Digital Agency,Design & Marketing,"code and theory, digital agency, product design, brand transformation, engineering, media, ux, digital product, strategy",Code & Theory,true,4,websummit-lisbon2025,N/A
Unbabel,unbabel.com,Enterprise AI translation,B2B platform combining AI and human translation to help businesses deliver multilingual customer support at scale.,Customer Support and Success,General Business,"AI translation, multilingual support, localization",,TRUE,High,Web Summit Lisbon 2025,Zone C
Defined.ai,defined.ai,AI training data marketplace,"Marketplace for businesses to buy, sell, and commission high-quality, ethically sourced training data for AI models.",Data and Analytics,General Business,"training data, AI datasets, data marketplace",DefinedCrowd,TRUE,Medium,Web Summit Lisbon 2025,Zone C
Biped.ai,biped.ai,AI navigation for visually impaired,"Consumer wearable device that uses autonomous driving technology to guide visually impaired individuals, avoiding obstacles in real-time.",Navigation,,"wearable, visual impairment, AI navigation",Biped,TRUE,High,Web Summit Lisbon 2025,Zone A
CodiumAI,codium.ai,AI test generation for developers,Developer tool that analyzes codebases and automatically generates meaningful test suites to ensure software reliability.,Product and Engineering,General Business,"AI testing, code generation, developer tools",Codium,TRUE,High,Web Summit Lisbon 2025,Zone C
Colossyan,colossyan.com,AI video for workplace learning,Platform allowing corporate training and HR teams to create engaging video learning content using AI avatars.,Human Resources and Recruiting,Education and Training,"AI avatars, corporate learning, video generation",,TRUE,Medium,Web Summit Lisbon 2025,Zone C
Fixie.ai,fixie.ai,Conversational AI platform,"Enterprise platform that allows engineering teams to easily build, host, and scale conversational AI agents hooked into internal APIs.",Product and Engineering,General Business,"conversational AI, API agents, developer platform",Fixie,TRUE,Medium,Web Summit Lisbon 2025,Zone C
Inworld AI,inworld.ai,AI NPC engine,"Developer platform creating highly realistic, interactive, and autonomous non-player characters for video games and immersive media.",Product and Engineering,Media and Entertainment,"AI NPCs, gaming AI, interactive media",Inworld,TRUE,High,Web Summit Lisbon 2025,Zone C
Chai,chai-research.com,Conversational AI platform,Consumer chat platform allowing users to discover and chat with millions of different AI personalities and companions.,AI Assistants and Companions,,"AI chat, conversational bots, companions",Chai AI,TRUE,Medium,Web Summit Lisbon 2025,Zone B
Fireflies.ai,fireflies.ai,AI meeting transcription,"Enterprise voice assistant that plugs into web conferencing tools to transcribe, summarize, and analyze online meetings.",Operations and Process Automation,General Business,"meeting notes, AI transcription, voice assistant",Fireflies,TRUE,High,Web Summit Lisbon 2025,Zone C
Phind,phind.com,AI search engine for developers,Consumer and solo-operator AI search engine specifically tuned to answer complex programming and software engineering questions.,Knowledge and Research Agents,,"developer search, AI coding assistant",,TRUE,High,Web Summit Lisbon 2025,Zone B
Kagi,kagi.com,Premium ad-free search engine,"Consumer search engine utilizing AI to provide fast, high-quality, and completely ad-free search results for researchers and professionals.",Knowledge and Research Agents,,"ad-free search, premium search, web research",,TRUE,Medium,Web Summit Lisbon 2025,Zone B
Andi,andisearch.com,Conversational search assistant,Generative AI search agent that summarizes web results and answers user questions directly in a chat interface.,Knowledge and Research Agents,,"AI search, conversational search, answer engine",Andi Search,TRUE,Medium,Web Summit Lisbon 2025,Zone B
Beautiful.ai,beautiful.ai,Generative presentation software,B2B platform that uses AI to automate the design and formatting of corporate slide decks and presentations.,Sales and Revenue,General Business,"slide decks, presentations, automated design",,TRUE,Medium,Web Summit Lisbon 2025,Zone C
HiredScore,hiredscore.com,Ethical AI for talent acquisition,"Enterprise HR platform providing deep talent orchestration, screening, and hiring analytics with a focus on ethical AI compliance.",Human Resources and Recruiting,General Business,"talent acquisition, HR AI, ethical AI",,TRUE,High,Web Summit Lisbon 2025,Zone C
Helsing,helsing.ai,AI for defense and security,Defense technology company utilizing AI and software capabilities to protect democracies through advanced data intelligence.,Operations and Process Automation,Government and Public Sector,"defense AI, national security, military tech",,TRUE,High,Web Summit Lisbon 2025,Zone C
Spellbook,spellbook.legal,AI contract drafting,Generative AI tool specifically built into Microsoft Word to help corporate lawyers draft and review contracts faster.,Legal and Compliance,General Business,"legal AI, contract drafting, lawyers",,TRUE,High,Web Summit Lisbon 2025,Zone C
Augury,augury.com,Machine health AI,Industrial platform combining IoT sensors and AI to diagnose machine health and predict mechanical failures in manufacturing plants.,Operations and Process Automation,Manufacturing,"machine health, predictive maintenance, IoT, manufacturing",,TRUE,High,Web Summit Lisbon 2025,Zone C
Eko Health,ekohealth.com,AI digital stethoscope,Medical device company combining digital stethoscopes with AI analysis to help doctors detect heart and lung diseases early.,Operations and Process Automation,Healthcare and Clinics,"digital stethoscope, heart health, medtech",Eko,TRUE,High,Web Summit Lisbon 2025,Zone C
Flo Health,flo.health,Women's health and period tracker,"Consumer mobile application providing cycle tracking, health insights, and personalized wellness information for women.",Health and Fitness,,"period tracker, women's health, wellness",Flo,TRUE,High,Web Summit Lisbon 2025,Zone A
Rilla,rilla.com,Voice AI for outside sales,Conversational intelligence platform built specifically for field sales and home service representatives to track in-person pitches.,Sales and Revenue,General Business,"outside sales, field service, voice AI, sales coaching",Rilla Voice,TRUE,High,Web Summit Lisbon 2025,Zone C
Lavender,lavender.ai,AI email coach,"B2B sales tech that sits inside email clients and uses AI to help sales representatives write better, higher-converting outbound emails.",Sales and Revenue,General Business,"sales tech, cold email, AI writing coach",,TRUE,Medium,Web Summit Lisbon 2025,Zone C
6sense,6sense.com,Account-based marketing AI,B2B revenue AI platform that helps sales and marketing teams identify anonymous buyer intent and target the right accounts.,Marketing and Growth,General Business,"ABM, buyer intent, revenue AI, B2B marketing",,TRUE,High,Web Summit Lisbon 2025,Zone C
Anyword,anyword.com,Data-driven AI copywriting,Enterprise marketing platform that uses predictive AI models to generate and score marketing copy for performance.,Marketing and Growth,General Business,"AI copywriting, predictive marketing, ad copy",,TRUE,Medium,Web Summit Lisbon 2025,Zone C
Murf AI,murf.ai,AI voice generator,"Platform allowing creators and businesses to convert text into studio-quality voiceovers for videos, podcasts, and presentations.",Marketing and Growth,General Business,"text-to-speech, voiceover, AI voice",Murf,TRUE,Medium,Web Summit Lisbon 2025,Zone C
Kling AI,kling.ai,Generative video model,Consumer and creator platform providing high-fidelity text-to-video and image-to-video generation capabilities.,Creator and Content Agents,,"text-to-video, AI video, generative video",Kling,TRUE,High,Web Summit Lisbon 2025,Zone B
Guru,getguru.com,AI enterprise wiki,Knowledge management platform that captures internal company information and delivers it to employees in their workflow via an AI agent.,IT and Infrastructure,General Business,"knowledge management, enterprise wiki, internal search",,TRUE,High,Web Summit Lisbon 2025,Zone C
Zapier Central,zapier.com/central,AI workflow bots,Platform enabling teams to create custom AI bots that can securely interact with thousands of business applications to automate tasks.,Operations and Process Automation,General Business,"AI bots, workflow automation, integrations",Central,TRUE,High,Web Summit Lisbon 2025,Zone C
Gumloop,gumloop.com,No-code AI automation,"B2B platform that allows operations teams to build and deploy complex, multi-step AI workflows without writing code.",Operations and Process Automation,General Business,"no-code AI, workflow automation, operations",,TRUE,Medium,Web Summit Lisbon 2025,Zone C
Nebius,nebius.com,AI infrastructure provider,Full-stack cloud solutions for AI developers offering GPU clusters and managed Kubernetes.,Infrastructure / Cloud Computing,Technology / AI Infrastructure,"AI Cloud, GPU, NVIDIA, Infrastructure",,TRUE,High,Web Summit Lisbon 2025,Zone C
PeachWeb,peachweb.io,AI-powered 3D website builder,No-code platform for creating interactive 3D web experiences using WebGL.,Web Design / Content Creation,Internet Software / Design Tech,"3D Website, No-Code, WebGL, AI Design",,TRUE,Medium,Web Summit Lisbon 2025,Zone C
Fayder,faydersports.com,Athlete fan engagement platform,Funding and engagement platform for elite athletes to build subscriber communities.,Fan Engagement / Fundraising,Sports Tech / Creator Economy,"Elite Athletes, Funding, Sports Tech",,TRUE,Medium,Web Summit Lisbon 2025,Zone C
Cipher Labs AI,cipherlabs.dev,AI guardrails and security,Live guardrails and copilots for autonomous AI agents to ensure safety and compliance.,AI Safety / Governance,Artificial Intelligence / Cybersecurity,"AI Guardrails, Autonomous Agents, AI Safety",,TRUE,High,Web Summit Lisbon 2025,Zone C
Fairwai,fairw.ai,AI conversation intelligence,"Platform that analyzes customer interactions across Zoom, Teams, and other tools.",Sales Intelligence / Customer Support,Business Software / SaaS,"Conversation Intelligence, Meeting Insights, AI Transcription",,TRUE,Medium,Web Summit Lisbon 2025,Zone C
VibeVenture,vibeventure.ai,AI-powered startup accelerator,Provides founders with health scores and daily guidance to scale their startups.,Startup Acceleration / Venture Management,Venture Capital / Startup Tech,"Startup Accelerator, AI OS, Founder Guidance",,TRUE,Medium,Web Summit Lisbon 2025,Zone C
GoodMora,goodmora.ai,Strategic intelligence platform,Maps business architecture to identify operational misalignments using AI.,Business Strategy / Organizational Design,Management Consulting / Enterprise Software,"Business Strategy, Organizational Mapping, AI Strategy",,TRUE,Medium,Web Summit Lisbon 2025,Zone C
Coalex.ai,coalex.ai,AI governance platform,Human-in-the-loop trust infrastructure and decision firewalls for AI systems.,AI Governance / Compliance,Artificial Intelligence / RegTech,"AI Governance, Human-in-the-loop, Compliance",,TRUE,High,Web Summit Lisbon 2025,Zone C
AiVA AI,aiva.ai,AI music generation assistant,"Creates original soundtracks for films, games, and commercials using AI.",Creative Content Generation,Media & Entertainment / Creative Tech,"AI Music, Soundtrack, Composer, Creative AI",,TRUE,Medium,Web Summit Lisbon 2025,Zone C
SocialTalk,socialtalk.io,Influencer marketing platform,AI-powered discovery and management tool for influencer marketing campaigns.,Influencer Marketing / Social Media Management,Digital Marketing / AdTech,"Influencer Marketing, Social Media, Analytics",,TRUE,Medium,Web Summit Lisbon 2025,Zone C
DuoKey,duokey.com,Cloud encryption and key management,Specialized in multi-party computation (MPC) for cloud security and encryption.,Data Security / Encryption,Cybersecurity / Cloud Security,"MPC, Encryption, Key Management, Cloud Security",,TRUE,High,Web Summit Lisbon 2025,Zone C
Allpass.ai,allpass.ai,Regulatory compliance automation,Identity verification and KYC/AML compliance platform using machine learning.,Identity Verification / Compliance,Fintech / RegTech,"KYC, AML, Identity Verification, Compliance",,TRUE,Medium,Web Summit Lisbon 2025,Zone C
FortuneGuard,fortuneguard.ai,AI-powered risk mitigation insurance,Provides insurance solutions for war-related risks using AI analytics.,Risk Assessment / Underwriting,InsurTech / Insurance,"War Risk Insurance, AI Risk Analytics, Insurtech",,TRUE,Medium,Web Summit Lisbon 2025,Zone C
Intelswift,intelswift.com,AI customer service automation,Automates customer support using domain-trained AI agents and chatbots.,Customer Support / Help Desk Automation,Customer Service / SaaS,"AI Customer Support, AI Agents, Automation",,TRUE,Medium,Web Summit Lisbon 2025,Zone C
LifesaverSIM,lifesaversim.com,First aid training simulator,Mobile gaming simulator for training in tactical medicine and emergency response.,Medical Training / Emergency Response,EdTech / Defense Tech,"TCCC, First Aid, Simulation, Medical Training",,TRUE,Medium,Web Summit Lisbon 2025,Zone C
Vulnebify,vulnebify.com,Real-time cybersecurity platform,Tracks vulnerabilities using isolated attack surface replicas and distributed scanners.,Vulnerability Management / Threat Intelligence,Cybersecurity,"Vulnerability Management, Attack Surface, Security",,TRUE,High,Web Summit Lisbon 2025,Zone C
SYLA,syla.pro,Autonomous knee prosthesis,Bionic knee prosthesis using AI to recognize walking modes in real-time.,Mobility Solutions / Rehabilitation,HealthTech / MedTech,"Bionic Knee, Prosthesis, AI Prosthetics, Mobility",,TRUE,High,Web Summit Lisbon 2025,Zone A
Granter.ai,granter.ai,AI-powered grant assistant,"Platform that helps businesses identify, apply for, and manage public funding and EU grants using AI.",Legal and Compliance,General Business,"grants, public funding, AI grant writer, EU grants, QuickMatch",Granter,TRUE,High,Web Summit Lisbon 2025,Zone C
VarsityScape,varsityscape.com,AI education platform,Nigeria-based platform helping educators and teams launch and manage online academies at scale.,Education and Training,Education and Training,"online academy, edtech, AI education, Nigeria",Varsity Scape,TRUE,High,Web Summit Lisbon 2025,Zone C
SegmentStream,segmentstream.com,AI-driven marketing platform,UK-based platform for ad performance analysis and high-value customer identification in a privacy-first world.,Marketing and Growth,General Business,"marketing AI, ad performance, attribution, privacy-first marketing",Segment Stream,TRUE,High,Web Summit Lisbon 2025,Zone C
Verdi,verdi.ag,Precision agriculture automation,Wireless irrigation solution for farms and vineyards to precisely control water usage at the plant level.,Operations and Process Automation,Sustainability & Environment,"precision agriculture, irrigation, water scarcity, agtech",Verdi Ag,TRUE,High,Web Summit Lisbon 2025,Zone C
Light One,lightone.ca,Bioalternatives for chemicals,Mission-driven company replacing synthetic chemicals with safe bioalternatives in everyday products.,Operations and Process Automation,Sustainability & Environment,"clean tech, bioalternatives, synthetic chemicals, non-toxic",LightOne,TRUE,Medium,Web Summit Lisbon 2025,Zone C
Maman Biomedical,mamanbiomedical.com,Innovative drug delivery for IVF,Developing advanced drug delivery systems to make fertility treatments less invasive and more effective.,Health and Fitness,Healthcare and Clinics,"IVF, fertility tech, medtech, drug delivery",Maman,TRUE,High,Web Summit Lisbon 2025,Zone C
Binoloop,binoloop.com,AI for government procurement,Platform that uses AI to bring transparency and efficiency to government bidding and compliance processes.,Operations and Process Automation,Government and Public Sector,"procurement AI, government contracts, transparency, bidding",Bino Loop,TRUE,Medium,Web Summit Lisbon 2025,Zone C
Crux,crux.app,Digital legacy platform,Combines secure document storage with emotional features like time capsules to manage digital inheritance.,Consumer Services,General Business,"digital legacy, inheritance, secure storage, time capsules",Crux App,TRUE,Medium,Web Summit Lisbon 2025,Zone B
Athena AI,athena.ai,Unified comms for social services,AI platform that unifies communications to help social services coordinate care and support effectively.,Customer Support and Success,Social Impact,"social services, unified comms, care coordination, social impact",Athena,TRUE,Medium,Web Summit Lisbon 2025,Zone C
Cogniflow,cogniflow.ai,Non-profit AI automation,Automates routine tasks for non-profits to help them scale their operations and impact.,Operations and Process Automation,Social Impact,"non-profit AI, automation, scale impact",Cogni Flow,TRUE,Medium,Web Summit Lisbon 2025,Zone C
Ethiopian Export Market,ethiopianexportmarket.com,Blockchain marketplace for farmers,Connects small farmers directly to international buyers via a blockchain-powered marketplace.,Operations and Process Automation,Sustainability & Environment,"blockchain, agriculture, fair trade, direct marketplace",Ethiopian Export,TRUE,Medium,Web Summit Lisbon 2025,Zone C
Vertassit,vertassit.com,Voice AI butler for hotels,In-room voice AI assistant 'Vert' designed specifically for luxury hotel guest services.,Customer Support and Success,Travel & Hospitality SaaS,"hospitality AI, voice butler, hotel tech, guest services",Vert,TRUE,Medium,Web Summit Lisbon 2025,Zone C
Nixi AI,nixi.ai,AI for healthcare workflow,GDPR-compliant AI tool for streamlining healthcare documentation and insurance processing.,Operations and Process Automation,Healthcare and Clinics,"healthcare AI, medical billing, HIPAA compliant, insurance docs",Nixi,TRUE,High,Web Summit Lisbon 2025,Zone C
Rumii,rumii.health,Behavioral health AI,Uses smartphone sensors and AI to analyze and monitor behavioral health and mental wellness.,Health and Fitness,Healthcare and Clinics,"behavioral health, mental health AI, wellness app, smartphone sensors",Rumii Health,TRUE,High,Web Summit Lisbon 2025,Zone A
Hovi,hovi.fi,Digital identity platform,"Platform for issuing and managing digital credentials, used by governments for secure identity.",IT and Infrastructure,Government and Public Sector,"digital identity, credentials, secure identity, fintech",Hovi Identity,TRUE,High,Web Summit Lisbon 2025,Zone C
Fagura,fagura.com,Digital banking for entrepreneurs,Investment and lending platform facilitating access to capital for small business owners.,FinTech,General Business,"fintech, p2p lending, investment, access to capital",Fagura.com,TRUE,Medium,Web Summit Lisbon 2025,Zone C
Pitch Avatar,pitchavatar.com,Automated sales presentations,AI-driven solution that automates and personalizes sales presentations to boost conversion rates.,Sales and Revenue,General Business,"sales automation, pitch deck, AI presentations, lead gen",PitchAvatar,TRUE,Medium,Web Summit Lisbon 2025,Zone C
HealthStay.io,healthstay.io,AI for health tourism,Enterprise software platform specifically built to manage and grow health tourism businesses.,Operations and Process Automation,Travel & Hospitality SaaS,"health tourism, medtech, travel tech, patient management",HealthStay,TRUE,Medium,Web Summit Lisbon 2025,Zone C
Aevai Health B.V.,aevaihealth.com,Wellness and health monitoring,Provides integrated wellness and health monitoring solutions for individual and corporate use.,Health and Fitness,Healthcare and Clinics,"wellness, health monitoring, corporate health",Aevai Health,TRUE,Medium,Web Summit Lisbon 2025,Zone A
AlongRoute Data PC,alongroute.com,Cleantech data analytics,Sustainability and environmental data platform providing actionable insights for businesses.,Operations and Process Automation,Sustainability & Environment,"cleantech, data analytics, sustainability, environment",AlongRoute,TRUE,Medium,Web Summit Lisbon 2025,Zone C
Babonbo Ltd,babonbo.com,Baby gear rental marketplace,Travel marketplace for parents to rent baby equipment like strollers and cribs worldwide.,Marketplace,Travel & Hospitality SaaS,"baby gear rental, travel tech, parenting, sharing economy",Babonbo,TRUE,Medium,Web Summit Lisbon 2025,Zone B
DeepNeuronic,deepneuronic.ai,AI-powered video analytics,Real-time threat detection and security monitoring platform using advanced computer vision.,Operations and Process Automation,Cybersecurity,"video analytics, threat detection, security AI, computer vision",Deep Neuronic,TRUE,High,Web Summit Lisbon 2025,Zone C
United Repair Centre,unitedrepaircentre.com,Circularity as a service,Professional repair platform helping fashion brands extend garment lifecycles.,Operations and Process Automation,Sustainability & Environment,"circular economy, fashion repair, sustainability, ESG",United Repair,TRUE,High,Web Summit Lisbon 2025,Zone C
recircular,recircular.net,Industrial waste AI marketplace,B2B marketplace for industrial waste reuse and recycling using AI for matching.,Marketplace,Sustainability & Environment,"industrial waste, recycling AI, circular economy, waste management",Recircular AI,TRUE,Medium,Web Summit Lisbon 2025,Zone C
CircularPlace,circularplace.fr,Asset monetization platform,Helps companies monetize dormant stock and underused assets to reduce corporate waste.,Marketplace,Sustainability & Environment,"dormant stock, circular economy, waste reduction, asset management",Circular Place,TRUE,Medium,Web Summit Lisbon 2025,Zone C
Sunmit Industries,sunmit.ca,Upcycling mattress waste,Converts mattress waste into reusable packaging materials and industrial products.,Operations and Process Automation,Sustainability & Environment,"upcycling, mattress recycling, sustainable packaging",Sunmit,TRUE,Low,Web Summit Lisbon 2025,Zone C
EndoSemio,endosemio.com,Modular endoscopy system,Medical device company reducing waste and infection risks with a modular endoscopy platform.,Operations and Process Automation,Healthcare and Clinics,"medtech, endoscopy, medical waste, infection control",Endo Semio,TRUE,High,Web Summit Lisbon 2025,Zone C
Wattflow,wattflow.ai,AI for HVAC optimization,Uses AI to optimize office HVAC systems for energy savings and reduced carbon footprint.,Operations and Process Automation,Sustainability & Environment,"HVAC optimization, energy efficiency, carbon footprint, building AI",Watt Flow,TRUE,Medium,Web Summit Lisbon 2025,Zone C
Verdantia,verdantia.energy,Biogas to green fuel,Catalytic process converting biogas into green kerosene and diesel for aviation decarbonization.,Operations and Process Automation,Sustainability & Environment,"biogas, green fuel, aviation decarbonization, biofuel",Verdantia Energy,TRUE,High,Web Summit Lisbon 2025,Zone C
Codekido (Nerbit),nerbit.io,Sustainable IT infrastructure,AI platform optimizing IT infrastructure to reduce carbon footprint and improve security.,IT and Infrastructure,Sustainability & Environment,"sustainable IT, carbon footprint, infrastructure AI, security",Codekido,TRUE,Medium,Web Summit Lisbon 2025,Zone C
LanguageFoundry,languagefoundry.ai,Preservation of Indigenous cultures,AI platform dedicated to language revitalization and preserving endangered cultural heritage.,Creator and Content Agents,Social Impact,"language preservation, indigenous culture, AI for good, heritage",Language Foundry,TRUE,Medium,Web Summit Lisbon 2025,Zone B
MySafeTherapy Ltd.,mysafetherapy.com,AI-led mental health support,Blends traditional therapy with AI tools and avatar-led sessions for accessible mental health.,Health and Fitness,Healthcare and Clinics,"mental health AI, therapy bot, avatar therapy, accessibility",MySafeTherapy,TRUE,Medium,Web Summit Lisbon 2025,Zone B
FALA Education,fala.com,Language learning for employees,Personalized online language learning platform to boost workforce literacy and engagement.,Education and Training,Education and Training,"language learning, corporate training, workforce development",FALA,TRUE,Medium,Web Summit Lisbon 2025,Zone C
VR NeuroLink AI,vrneurolink.ai,VR-based neurorehabilitation,Combines neurodiagnostics with measurable Virtual Reality rehabilitation programs.,Health and Fitness,Healthcare and Clinics,"neurorehabilitation, VR health, medical diagnostics",VR NeuroLink,TRUE,High,Web Summit Lisbon 2025,Zone A
BackAware,backaware.com,Wearable belt for back posture,Wearable device providing instant feedback on back posture to prevent injury.,Health and Fitness,Healthcare and Clinics,"wearable health, back posture, posture belt, injury prevention",Back Aware,TRUE,Medium,Web Summit Lisbon 2025,Zone A
ReachX,reachx.co,Digital investment banking,Platform providing institutional-level access to investment banking and private market data.,FinTech,General Business,"investment banking, private markets, capital raising, fintech",Reach X,TRUE,High,Web Summit Lisbon 2025,Zone C
alangu GmbH,alangu.de,Enterprise SaaS,European-based enterprise software solution specializing in specialized business workflows.,Operations and Process Automation,General Business,"enterprise SaaS, workflow, European tech",alangu,TRUE,Medium,Web Summit Lisbon 2025,Zone C
Alknoma,alknoma.com,AI and Machine Learning,Development studio focusing on custom AI models and machine learning implementations.,IT and Infrastructure,General Business,"AI development, custom models, machine learning",Alknoma AI,TRUE,Medium,Web Summit Lisbon 2025,Zone C
ALPACA,alpaca.education,AI for K-12 education,Adaptive learning platform designed to personalize the educational journey for students and teachers.,Education and Training,Education and Training,"K-12, edtech, adaptive learning, personalization",ALPACA Education,TRUE,Medium,Web Summit Lisbon 2025,Zone C
BankStore,bankstore.com,Fintech marketplace,A unified platform for discovering and integrating various fintech services and APIs.,FinTech,General Business,"fintech marketplace, API integration, financial services",Bank Store,TRUE,Medium,Web Summit Lisbon 2025,Zone C
Orluma,orlumahq.com,AI-driven voice platform,"Multilingual phone agents supporting 50+ languages to handle missed calls, book appointments, and resolve customer FAQs instantly.",Customer Support and Success,AI & Machine Learning,"voice AI, phone agents, multilingual support, customer service",Orluma,TRUE,High,Web Summit Lisbon 2025 - Featured,Zone C
.lumen,dotlumen.com,AI-powered glasses for the blind,Wearable device that replicates guide dog functionality using haptic and audio feedback for safe navigation.,Navigation,Hardware & Robotics,"blind navigation, haptics, assistive tech, wearable AI",Lumen,TRUE,High,Web Summit Lisbon 2025 - Featured,Zone A
.Muuza,muuza.io,AI vaginal health tool,Clinical support tool using AI image analysis and medical logic to provide triage and insights in under three minutes.,Operations and Process Automation,Healthcare & Clinics,"vaginal health, femtech, clinical support, AI diagnostics",Muuza,TRUE,Medium,Web Summit Lisbon 2025 - Featured,Zone A
SustainabilityExamples.com,sustainabilityexamples.com,Sustainability engagement platform,Product Hunt for Sustainability where companies share real-world climate action initiatives mapped to SDGs.,Knowledge and Research Agents,Sustainability & Environment,"sustainability, ESG, climate action, green tech",Sustainability Examples,TRUE,Medium,Web Summit Lisbon 2025 - Featured,Zone B
hiasynth AI,hyacinth.ai,Enterprise AI workflow automation,"Automates complex workflows and provides secure, data-driven intelligence via Slack and Microsoft Teams.",Operations and Process Automation,AI & Machine Learning,"enterprise AI, workflow automation, business intelligence",Hiasynth,TRUE,High,Web Summit Lisbon 2025 - Featured,Zone C
24karat,24karat.io,Fan engagement and commerce,Platform helping brands build long-term relationships through loyalty programs and digital marketplaces.,Marketing and Growth,E-commerce & Retail,"fan engagement, loyalty programs, digital commerce",24 Karat,TRUE,Medium,Web Summit Lisbon 2025 - Featured,Zone C
270 Degrees,270degrees.io,Interactive 3D product models,WebGL-based engine enabling interactive 3D models for real-time zooming and personalization on websites.,Creator and Content Agents,E-commerce & Retail,"3D visualization, WebGL, e-commerce, product customization",270 Degrees,TRUE,Medium,Web Summit Lisbon 2025 - Featured,Zone B
2Leap,2leap.es,Sales growth consultancy,Digital and automated sales methodologies helping B2B technology companies scale commercial strategies.,Sales and Revenue,General Business,"sales growth, B2B sales, automation, commercial strategy",2Leap,TRUE,Medium,Web Summit Lisbon 2025 - Featured,Zone C
2TICKET,last2ticket.com,Event management platform,"Flexible solutions for registrations, ticket sales, and audience engagement for live and hybrid events.",Operations and Process Automation,Travel & Hospitality SaaS,"event management, ticketing, live events, registration",Last2Ticket,TRUE,Medium,Web Summit Lisbon 2025 - Featured,Zone C
Groundsync,groundsync.io,Aviation data management,Web3 platform on Camino Blockchain for transparent and immutable aviation ground operations data.,IT and Infrastructure,Travel & Hospitality SaaS,"blockchain, aviation, ground operations, airport tech",Groundsync,TRUE,High,Web Summit Lisbon 2025 - Featured,Zone C
3D Eco House,3decohousetech.com,3D Concrete Printing construction,Sustainable and rapid housing solutions using additive manufacturing for affordable construction.,Operations and Process Automation,Sustainability & Environment,"3D construction, concrete printing, sustainable housing",3D Eco House,TRUE,High,Web Summit Lisbon 2025 - Featured,Zone C
3F Family Friends and Fans,3f.finance,Financial tool for entrepreneurs,Platform to manage P2P loans and investments from a founder's personal network securely.,FinTech,General Business,"P2P lending, entrepreneurship, funding, social capital",3F,TRUE,Medium,Web Summit Lisbon 2025 - Featured,Zone C
